Customer ID,Monetary,Frequency,TotalItemsPurchased,UniqueProducts,Recency,CustomerLifetime,AverageOrderValue,AverageItemsPerOrder,PurchaseRate,WeekendPurchaseRatio,CancellationRate,Cluster,IF_Label,IF_Anomaly_Score,LOF_Label,LOF_Anomaly_Score,OCSVM_Label,OCSVM_Anomaly_Score,Methods_Flagging,Final_Anomaly,High_Confidence_Anomaly
12346,77556.46,12,74285,27,326.1173611111111,400.0604166666666,6463.038333333334,6190.416666666667,0.0274272891137557,0.0,0.2941176470588235,2,Anomaly,0.009002376676668367,Normal,1.3493177341358837,Normal,-0.376714087370285,1,True,False
12347,4921.53,8,2967,126,2.873611111111111,402.06388888888887,615.19125,370.875,0.0173669738048145,0.125,0.0,2,Normal,-0.18378709050921316,Normal,1.0655865075327986,Normal,-0.9417839621011286,0,False,False
12348,2019.4,5,2714,25,75.98402777777778,362.9263888888889,403.88,542.8,0.0109912337278219,0.2,0.0,2,Normal,-0.1713746479810621,Normal,1.228594647061669,Normal,-1.1874916557311548,0,False,False
12349,4428.69,4,1624,138,19.124305555555555,570.8548611111111,1107.1725,406.0,0.005246086383127,0.0,0.2,2,Normal,-0.17699514484622375,Normal,1.1072019232509929,Normal,-0.629799984613681,0,False,False
12350,334.4,1,197,17,310.8673611111111,0.0,334.4,197.0,0.0,0.0,0.0,0,Normal,-0.23674215874439464,Normal,1.0036478747693702,Normal,-0.8046017091217506,0,False,False
12351,300.93,1,261,21,375.89375,0.0,300.93,261.0,0.0,0.0,0.0,0,Normal,-0.23478441376514936,Normal,1.0221758654783866,Normal,-0.7725890189576985,0,False,False
12352,2849.84,10,724,70,36.925694444444446,356.17847222222224,284.98400000000004,72.4,0.0251974872505769,0.0,0.2307692307692307,2,Normal,-0.19129729943900514,Normal,1.1053177960105016,Normal,-0.9959275017293869,0,False,False
12353,406.76,2,212,23,204.79375,204.21041666666667,203.38,106.0,0.0048730469741423,0.0,0.0,0,Normal,-0.22891082157301007,Normal,0.968324528994893,Normal,-1.042831760007088,0,False,False
12354,1079.4,1,530,58,232.98541666666668,0.0,1079.4,530.0,0.0,0.0,0.0,2,Normal,-0.1812150882732792,Normal,1.0155774594944882,Normal,-0.549571830495537,0,False,False
12355,947.61,2,543,35,214.95902777777772,353.0763888888889,473.805,271.5,0.0028242493184537,0.0,0.0,2,Normal,-0.2186920433415253,Normal,1.0274496877883958,Normal,-1.014014942306464,0,False,False
12356,6371.73,6,3416,104,23.17361111111111,401.9569444444445,1061.955,569.3333333333334,0.0124082735610711,0.0,0.0,2,Normal,-0.1663584865208096,Normal,1.2023881694984966,Normal,-0.7493568177386383,0,False,False
12357,18287.66,3,6587,261,33.863194444444446,355.25138888888887,6095.886666666666,2195.6666666666665,0.0056140132007282,0.3333333333333333,0.0,2,Normal,-0.03410772736130019,Anomaly,1.7180842609666844,Normal,-0.00015572585671286276,1,False,False
12358,3887.07,5,1079,56,2.1,730.1020833333333,777.414,215.8,0.0054711921784748,0.0,0.0,2,Normal,-0.1687136639356105,Normal,1.244721801725953,Normal,-0.40923421119537196,0,False,False
12359,8873.39,10,2739,305,58.00208333333333,676.96875,887.3389999999999,273.9,0.0132749481447338,0.2,0.2857142857142857,2,Normal,-0.15784862837753788,Normal,1.1516718308404887,Normal,-0.6294221810262037,0,False,False
12360,4252.89,8,2459,160,52.894444444444446,603.2430555555555,531.61125,307.375,0.0115847421590373,0.0,0.1111111111111111,2,Normal,-0.20585943313868538,Normal,0.9886694084054808,Normal,-0.712544768021893,0,False,False
12361,511.25,4,235,18,287.9576388888889,394.9680555555556,127.8125,58.75,0.0075763687446728,0.25,0.0,0,Normal,-0.18664329638862887,Normal,1.0235080334630822,Normal,-1.034506497728663,0,False,False
12362,5356.23,11,2230,201,3.8819444444444446,735.2291666666666,486.93,202.72727272727272,0.0135827272984521,0.0,0.2142857142857142,2,Normal,-0.17767036912239687,Normal,1.0092036646212348,Normal,-0.5138593764389454,0,False,False
12363,552.0,2,408,23,110.10555555555555,132.8673611111111,276.0,204.0,0.0074700807702483,0.0,0.0,0,Normal,-0.23457055639052238,Normal,1.0192531376917449,Normal,-1.1069144927370425,0,False,False
12364,1313.1,4,1506,70,8.102777777777778,104.79027777777776,328.275,376.5,0.0283579934093922,0.25,0.0,2,Normal,-0.18270355534379984,Normal,1.0424454791396323,Normal,-0.9686871055084656,0,False,False
12365,641.38,2,174,22,291.9486111111111,0.0090277777777777,320.69,87.0,0.9910529938059188,0.0,0.3333333333333333,0,Normal,-0.12255323123223894,Normal,1.072321781604234,Normal,-0.5876198009428957,0,False,False
