Customer ID,Monetary,Frequency,TotalItemsPurchased,UniqueProducts,Recency,CustomerLifetime,AverageOrderValue,AverageItemsPerOrder,PurchaseRate,WeekendPurchaseRatio,CancellationRate
12346,77556.46,12,74285,27,326.1173611111111,400.06041666666664,6463.038333333334,6190.416666666667,0.02742728911375572,0.0,0.29411764705882354
12347,4921.53,8,2967,126,2.873611111111111,402.06388888888887,615.19125,370.875,0.01736697380481451,0.125,0.0
12348,2019.4,5,2714,25,75.98402777777778,362.9263888888889,403.88,542.8,0.010991233727821943,0.2,0.0
12349,4428.69,4,1624,138,19.124305555555555,570.8548611111111,1107.1725,406.0,0.005246086383127032,0.0,0.2
12350,334.4,1,197,17,310.8673611111111,0.0,334.4,197.0,0.0,0.0,0.0
12351,300.93,1,261,21,375.89375,0.0,300.93,261.0,0.0,0.0,0.0
12352,2849.84,10,724,70,36.925694444444446,356.17847222222224,284.98400000000004,72.4,0.025197487250576956,0.0,0.23076923076923078
12353,406.76,2,212,23,204.79375,204.21041666666667,203.38,106.0,0.004873046974142394,0.0,0.0
12354,1079.4,1,530,58,232.98541666666668,0.0,1079.4,530.0,0.0,0.0,0.0
12355,947.61,2,543,35,214.95902777777778,353.0763888888889,473.805,271.5,0.0028242493184537235,0.0,0.0
12356,6371.73,6,3416,104,23.17361111111111,401.95694444444445,1061.955,569.3333333333334,0.012408273561071109,0.0,0.0
12357,18287.66,3,6587,261,33.863194444444446,355.25138888888887,6095.886666666666,2195.6666666666665,0.005614013200728262,0.3333333333333333,0.0
12358,3887.07,5,1079,56,2.1,730.1020833333333,777.414,215.8,0.005471192178474848,0.0,0.0
12359,8873.39,10,2739,305,58.00208333333333,676.96875,887.3389999999999,273.9,0.01327494814473381,0.2,0.2857142857142857
12360,4252.89,8,2459,160,52.894444444444446,603.2430555555555,531.61125,307.375,0.011584742159037363,0.0,0.1111111111111111
12361,511.25,4,235,18,287.9576388888889,394.96805555555557,127.8125,58.75,0.007576368744672866,0.25,0.0
12362,5356.23,11,2230,201,3.8819444444444446,735.2291666666666,486.92999999999995,202.72727272727272,0.013582727298452136,0.0,0.21428571428571427
12363,552.0,2,408,23,110.10555555555555,132.8673611111111,276.0,204.0,0.007470080770248328,0.0,0.0
12364,1313.1,4,1506,70,8.102777777777778,104.79027777777777,328.275,376.5,0.028357993409392275,0.25,0.0
12365,641.38,2,174,22,291.9486111111111,0.009027777777777777,320.69,87.0,0.9910529938059187,0.0,0.3333333333333333
12366,500.24,1,296,3,634.0986111111112,0.0,500.24,296.0,0.0,0.0,0.0
12367,168.9,1,173,11,4.834722222222222,0.0,168.9,173.0,0.0,0.0,0.0
12368,917.6999999999999,1,330,18,628.8708333333333,0.0,917.6999999999999,330.0,0.0,1.0,0.0
12369,1791.15,3,1241,90,413.9840277777778,228.2111111111111,597.0500000000001,413.6666666666667,0.008725580493480052,0.0,0.0
12370,4316.56,7,2604,168,51.91597222222222,617.2152777777778,616.6514285714286,372.0,0.009705357042562033,0.0,0.0
12371,4067.38,5,1436,134,45.106944444444444,600.6618055555556,813.476,287.2,0.006648253159940119,0.0,0.0
12372,1298.04,3,794,34,72.02638888888889,224.9763888888889,432.68,264.6666666666667,0.008850482166893051,0.0,0.0
12373,1127.65,3,516,36,311.9861111111111,362.04305555555555,375.8833333333334,172.0,0.005508988450252687,0.0,0.0
12374,2989.2200000000003,4,1362,79,25.884027777777778,563.0666666666667,747.3050000000001,340.5,0.005318520269471693,0.0,0.0
12375,457.5,2,178,14,11.093055555555555,87.84236111111112,228.75,89.0,0.011255891755840948,0.0,0.3333333333333333
12376,503.15,2,240,11,390.02430555555554,28.147916666666667,251.575,120.0,0.03430776928025159,0.0,0.0
12377,3426.32,4,2105,129,315.87847222222223,274.0076388888889,856.58,526.25,0.010908787887205153,0.0,0.0
12378,5416.32,2,3316,281,130.09444444444443,432.8520833333333,2708.16,1658.0,0.0023049330368933346,0.0,0.0
12379,1620.22,4,815,58,82.11180555555555,452.8888888888889,405.055,203.75,0.006609547123623011,0.0,0.2
12380,9676.300000000001,11,3355,156,22.05763888888889,640.9736111111112,879.6636363636364,305.0,0.01557696426601128,0.0,0.26666666666666666
12381,1845.31,5,808,70,5.004166666666666,115.11597222222223,369.062,161.6,0.034448318551256824,0.2,0.16666666666666666
12383,1850.56,5,1532,84,185.2,167.73194444444445,370.11199999999997,306.4,0.02370624017384576,0.0,0.16666666666666666
12384,585.27,2,126,26,29.174305555555556,92.8861111111111,292.635,63.0,0.010651202698304683,0.0,0.3333333333333333
12385,1938.4,1,612,65,379.9,0.0,1938.4,612.0,0.0,0.0,0.5
12386,401.9,2,354,10,338.00902777777776,29.113888888888887,200.95,177.0,0.033207268702149254,0.0,0.0
12387,143.94,1,134,9,415.84930555555553,0.0,143.94,134.0,0.0,0.0,0.0
